time,x,y,heading,distance,segment
1.44,5.817048922544361,4.859963644030054,0.5940143126698095,3.175449798239886,2
1.46,5.8375711543756434,4.823732120222716,0.5392590408015402,3.2170943772245546,2
1.48,5.859630820812747,4.788414547756786,0.4845037689332711,3.258738956209223,2
1.5,5.883261361509427,4.754131138057795,0.4297484970650016,3.300383535193892,2
1.52,5.908445759813123,4.720972209677185,0.3749932251967328,3.342028114178561,2
1.54,5.935332132442977,4.689176116309143,0.3202379533284628,3.3836726931632297,2
1.56,5.963916421427332,4.6589010819427745,0.26548268146019316,3.425317272147898,2
1.58,5.994140901655835,4.630266393921709,0.21072740959192443,3.4669618511325666,2
1.6,6.025985684262403,4.603444204773479,0.15597213772365448,3.5086064301172355,2
1.62,6.059396760378637,4.578595423212636,0.1012168658553857,3.5502510091019044,2
1.6400000000000001,6.094351439428327,4.55596948674577,0.046461593987117085,3.591895588086573,2
1.6600000000000001,6.130651525918241,4.535578385711876,-0.008293677881153302,3.6335401670712413,2
1.68,6.168151933343539,4.517492907203261,-0.06304894974942224,3.6751847460559097,2
1.7,6.206693989119265,4.50174777513932,-0.1178042216176888,3.7168293250405786,2
1.72,6.24611170397016,4.488336597635308,-0.17255949348595892,3.758473904025247,2
1.74,6.28626036704417,4.477295611545578,-0.2273147653542276,3.800118483009916,2
1.76,6.326973093631213,4.468567907232685,-0.28207003722249696,3.841763061994585,2
1.78,6.368082810081536,4.4619644107056695,-0.33682530909076736,3.8834076409792533,2
1.8,6.409467417237149,4.457360626973721,-0.39158058095903525,3.925052219963922,2
1.82,6.4510321952331395,4.454846533984126,-0.4463358528273055,3.9666967989485906,2
1.84,6.492664367079119,4.454087133644277,-0.5010911246955728,4.0083413779332595,2
1.86,6.534295216642268,4.455019048033496,-0.5558463965638428,4.049985956917928,2
1.8800000000000001,6.575856072027726,4.457596040373228,-0.6106016684321124,4.091630535902597,2
1.9000000000000001,6.617307579915339,4.46157362518593,-0.6653569403003835,4.133275114887265,2
1.92,6.658595637951491,4.466988839513241,-0.7201122121686515,4.174919693871934,2
1.94,6.6997058905203355,4.4736244317668294,-0.774867484036922,4.216564272856603,2
1.96,6.7406114301059885,4.481423142233931,-0.8296227559051885,4.258208851841271,2
1.98,6.781283751144701,4.490361269780433,-0.8843780277734584,4.29985343082594,2
2.0,6.821738053967315,4.500239867362576,-0.9391332996417278,4.341498009810609,2
2.02,6.8619473005893905,4.51107358857511,-0.993888571509995,4.383142588795277,2
2.04,6.901900371088618,4.522817652538256,-1.0486438433782639,4.424787167779947,2
2.06,6.941618099269873,4.535334226220519,-1.1033991152465332,4.466431746764615,2
2.08,6.981098834886832,4.5485802787667735,-1.1581543871148028,4.5080763257492835,2
2.1,7.020334752279865,4.562535818089978,-1.2129096589830735,4.549720904733952,2
2.12,7.059312026292285,4.577198485366437,-1.267664930851343,4.59136548371862,2
2.14,7.098057691495395,4.59246210067091,-1.3224202027196126,4.63301006270329,2
2.16,7.13657464885485,4.6082938465811365,-1.3771754745878808,4.674654641687958,2
2.18,7.174866409492886,4.624662862903871,-1.4319307464561508,4.716299220672627,2
2.2,7.212936981288379,4.641540146338981,-1.4866860183244195,4.757943799657296,2
2.22,7.250790770035513,4.658898450517734,-1.5414412901926882,4.799588378641964,2
2.24,7.288432493653818,4.676712187586199,-1.596196562060958,4.841232957626634,2
2.2600000000000002,7.325867108040141,4.694957332227995,-1.650951833929226,4.882877536611302,2
2.2800000000000002,7.36309974325909,4.7136113287905,-1.7057071057974953,4.924522115595971,2
2.3000000000000003,7.400135648877437,4.7326530019893465,-1.760462377665765,4.9661666945806395,2
2.32,7.436980147356422,4.752062471511521,-1.8152176495340335,5.0078112735653075,2
2.34,7.4736385945207235,4.771821070712885,-1.8699729214023013,5.0494558525499755,2
2.36,7.5101163462227145,4.791911269506522,-1.9247281932705707,5.091100431534644,2
2.38,7.546418730414088,4.8123166014601,-1.9794834651388413,5.132745010519313,2
2.4,7.569542010385237,4.845499147468432,0.38,5.175575188545724,3
2.42,7.584310086296882,4.886458164029742,0.38,5.21911580119086,3
2.44,7.5984203508139,4.927648415853046,0.38,5.2626564138359955,3
