trajectory,point_index,x,y,heading
traj_2,49,6.078185627260499,4.566010419756848,0.07148313183379429
traj_2,50,6.097492671370709,4.55401840014534,0.041599576965297924
traj_2,51,6.11718964106768,4.54270526883221,0.011733756368031756
traj_2,52,6.137276536351408,4.532071025817455,-0.018149798500463943
traj_2,53,6.157753357221897,4.522115671101076,-0.048086493148833176
traj_2,54,6.178620103679146,4.512839204683075,-0.07811154509919338
traj_2,55,6.199876775723157,4.504241626563449,-0.1082598622335682
traj_2,56,6.221523373353927,4.4963229367421995,-0.1385659264898944
traj_2,57,6.243559896571455,4.489083135219329,-0.16906368474592393
traj_2,58,6.265986345375744,4.482522221994833,-0.19978644845361626
traj_2,59,6.288802719766792,4.476640197068714,-0.2307668032659007
traj_2,60,6.3120090197446,4.47143706044097,-0.26203652955207346
traj_2,61,6.335605245309168,4.466912812111604,-0.29362653434774044
traj_2,62,6.359591396460495,4.463067452080614,-0.3255667949482597
traj_2,63,6.3839674731985845,4.459900980348001,-0.35788631404630356
traj_2,64,6.408733475523432,4.457413396913764,-0.39061308604552925
traj_2,65,6.433889403435041,4.455604701777904,-0.42377407396071054
traj_2,66,6.459435256933405,4.454474894940422,-0.45739519614294677
traj_2,67,6.485371036018535,4.454023976401313,-0.49150132194662155
traj_2,68,6.511696740690422,4.454251946160584,-0.5261162753792052
traj_2,69,6.538412370949068,4.45515880421823,-0.5612628457411162
traj_2,70,6.565517926794474,4.456744550574252,-0.5969628042639252
traj_2,71,6.593013408226641,4.45900918522865,-0.6332369257848771
traj_2,72,6.620898815245566,4.461952708181426,-0.6701050145468963
traj_2,73,6.649174147851253,4.465575119432578,-0.7075859332799299
traj_2,74,6.677839406043699,4.469876418982106,-0.7456976347958844
traj_2,75,6.7068945898229035,4.474856606830011,-0.7844571954109256
traj_2,76,6.736339699188871,4.480515682976292,-0.8238808495916543
traj_2,77,6.766174734141597,4.48685364742095,-0.8639840253027278
traj_2,78,6.796399694681082,4.493870500163984,-0.9047813796106439
traj_2,79,6.827014580807326,4.5015662412053965,-0.9462868341702406
traj_2,80,6.858019392520333,4.509940870545182,-0.9885136102860284
traj_2,81,6.889414129820098,4.518994388183348,-1.031474263299312
traj_2,82,6.9211987927066225,4.528726794119888,-1.075180716104172
traj_2,83,6.953373381179906,4.539138088354805,-1.1196442916407843
traj_2,84,6.985937895239951,4.550228270888098,-1.164875744253734
traj_2,85,7.018892334886754,4.561997341719769,-1.2108852898363165
traj_2,86,7.052236700120318,4.574445300849815,-1.2576826347098757
traj_2,87,7.085970990940642,4.5875721482782374,-1.3052770032105174
traj_2,88,7.120095207347726,4.601377884005039,-1.3536771639746674
traj_2,89,7.154609349341571,4.615862508030213,-1.402891454930419
traj_2,90,7.189513416922174,4.631026020353767,-1.4529278070138774
traj_2,91,7.224807410089537,4.646868420975695,-1.5037937666393764
traj_2,92,7.26049132884366,4.663389709896002,-1.5554965169597148
traj_2,93,7.296565173184544,4.680589887114683,-1.608042897957957
traj_2,94,7.333028943112187,4.698468952631743,-1.6614394254161926
traj_2,95,7.369882638626589,4.7170269064471775,-1.715692308809103
traj_2,96,7.407126259727751,4.736263748560989,-1.7708074681715908
traj_2,97,7.444759806415673,4.756179478973177,-1.826790549990304
traj_2,98,7.482783278690357,4.7767740976837425,-1.8836469421687578
traj_2,99,7.521196676551799,4.798047604692683,-1.9413817881150321
traj_2,100,7.56,4.82,-2.0
traj_2,101,7.56,4.82,1.04
traj_3,0,7.56,4.82,1.04
traj_3,1,7.56,4.82,0.38
traj_3,2,7.566567030500895,4.8374373716342856,0.38
traj_3,3,7.573002101401796,4.854875506040826,0.38
traj_3,4,7.579305212702696,4.87231440321962,0.38
traj_3,5,7.585476364403601,4.889754063170669,0.38
traj_3,6,7.591515556504507,4.907194485893973,0.38
traj_3,7,7.5974227890054165,4.924635671389529,0.38
traj_3,8,7.603198061906326,4.94207761965734,0.38
traj_3,9,7.60884137520724,4.959520330697407,0.38
traj_3,10,7.6143527289081545,4.976963804509726,0.38
traj_3,11,7.619732123009071,4.994408041094301,0.38
traj_3,12,7.624979557509993,5.011853040451131,0.38
traj_3,13,7.630095032410914,5.0292988025802146,0.38
traj_3,14,7.6350785477118395,5.046745327481552,0.38
traj_3,15,7.639930103412766,5.064192615155144,0.38
traj_3,16,7.644649699513696,5.08164066560099,0.38
traj_3,17,7.649237336014627,5.09908947881909,0.38
traj_3,18,7.653693012915562,5.1165390548094445,0.38
traj_3,19,7.658016730216497,5.133989393572053,0.38
traj_3,20,7.662208487917435,5.151440495106918,0.38
traj_3,21,7.666268286018377,5.168892359414034,0.38
traj_3,22,7.670196124519319,5.186344986493408,0.38
traj_3,23,7.673992003420266,5.203798376345034,0.38
traj_3,24,7.677655922721213,5.221252528968914,0.38
traj_3,25,7.681187882422163,5.238707444365049,0.38
traj_3,26,7.6845878825231155,5.256163122533439,0.38587299599987757
traj_3,27,7.687855923024071,5.273619563474083,0.3947051396395753
traj_3,28,7.690992003925027,5.29107676718698,0.40352581652288455
traj_3,29,7.693996125225985,5.308534733672133,0.4123355006108349
traj_3,30,7.696868286926948,5.325993462929539,0.4211346676408122
traj_3,31,7.699608489027911,5.343452954959201,0.4299237950580044
traj_3,32,7.702216731528878,5.360913209761115,0.4387033619455034
traj_3,33,7.704693014429846,5.378374227335286,0.44747384895311815
traj_3,34,7.707037337730818,5.395836007681709,0.45623573822493846
traj_3,35,7.709249701431791,5.413298550800388,0.4649895133257037
traj_3,36,7.711330105532767,5.430761856691321,0.47373565916602345
traj_3,37,7.713278550033744,5.4482259253545084,0.48247466192650745
traj_3,38,7.715095034934723,5.46569075678995,0.4912070089808558
traj_3,39,7.7167795602357065,5.483156350997645,0.49993318881796966
traj_3,40,7.718332125936691,5.500622707977596,0.5086536909631425
traj_3,41,7.719752732037678,5.518089827729799,0.5173690058983872
traj_3,42,7.721041378538667,5.535557710254257,0.5260796249819698
